UTC time	2708_pm1	2708_pm25	2708_pm10	2708_temperature	2708_humidity	2708_pressure
2018-03-15T07:00:00Z	17.680000	26.832000	40.660000	1.269444	90.597524	101411.654022
2018-03-15T08:00:00Z	19.258667	31.088000	49.260000	1.441667	91.476543	101425.431800
2018-03-15T09:00:00Z	17.952000	27.754667	42.926667	1.697222	92.421300	101428.987356
2018-03-15T10:00:00Z	19.466667	30.554667	47.900000	1.972222	92.979709	101435.098467
2018-03-15T11:00:00Z	21.589333	33.237333	49.940000	2.280556	83.146382	101444.209578
2018-03-15T12:00:00Z	18.276000	28.680000	45.067500	3.003125	71.224988	101429.029022
2018-03-15T13:00:00Z	19.968000	31.365333	49.793333	3.130556	71.270700	101388.098467
2018-03-15T14:00:00Z	18.058667	28.096000	43.366667	3.102778	71.225189	101380.098467
2018-03-15T15:00:00Z	18.992000	28.933333	44.600000	2.900000	70.801195	101377.765133
2018-03-15T16:00:00Z	16.272000	24.992000	38.940000	2.683333	69.931021	101365.431800
2018-03-15T17:00:00Z	21.182400	32.337600	47.418000	2.405000	69.132092	101380.254022
2018-03-15T18:00:00Z	20.074667	31.925333	51.193333	2.422222	67.181780	101410.654022
2018-03-15T19:00:00Z	20.709333	33.466667	52.833333	2.438889	65.743836	101423.987356
2018-03-15T20:00:00Z	25.062000	40.512000	62.565000	2.003125	75.290642	101440.904022
2018-03-15T21:00:00Z	21.573333	33.920000	53.033333	1.483333	84.706704	101449.876244
2018-03-15T22:00:00Z	19.285333	29.994667	45.733333	0.611111	73.928149	101438.320689
2018-03-15T23:00:00Z	23.125333	36.730667	56.426667	0.436111	73.362458	101421.542911
2018-03-16T00:00:00Z	17.304000	26.622000	40.837500	0.390625	68.667426	101396.529022
2018-03-16T01:00:00Z	22.992000	35.600000	54.240000	-0.341667	74.229471	101389.098467
2018-03-16T02:00:00Z	16.922667	25.760000	39.080000	0.252778	67.691501	101358.542911
2018-03-16T03:00:00Z	18.033600	27.446400	42.690000	0.242500	63.531124	101338.054022
2018-03-16T04:00:00Z	15.132000	22.710000	33.900000	-0.590625	72.832719	101337.529022
2018-03-16T05:00:00Z	14.789333	22.906667	34.746667	-0.550000	68.462500	101337.987356
2018-03-16T06:00:00Z	16.064000	24.821333	38.226667	-1.341667	72.732224	101316.320689
2018-03-16T07:00:00Z	15.253333	23.658667	36.826667	-0.952778	69.313799	101296.431800
2018-03-16T08:00:00Z	15.461333	24.026667	37.480000	-0.350000	67.303946	101310.431800
2018-03-16T09:00:00Z	25.380000	41.586000	63.487500	0.237500	63.590231	101275.654022
2018-03-16T10:00:00Z	15.038400	23.625600	36.588000	1.485000	59.543568	101229.754022
2018-03-16T11:00:00Z	11.584000	17.861333	26.360000	2.511111	77.464988	101218.542911
2018-03-16T12:00:00Z	11.242667	17.365333	25.113333	2.358333	74.138402	101183.876244
2018-03-16T13:00:00Z	14.320000	21.525333	32.566667	1.785000	73.792015	101136.320689
2018-03-16T14:00:00Z	24.901333	38.240000	56.246667			101120.431800
2018-03-16T15:00:00Z	16.338000	25.176000	37.065000			101074.904022
2018-03-16T16:00:00Z	15.690667	23.130667	33.026667			101097.876244
2018-03-16T17:00:00Z	16.160000	24.016000	35.693333	-0.725000	49.410698	101151.098467
2018-03-16T18:00:00Z	11.664000	17.077333	24.493333	-1.375000	49.187561	101241.765133
2018-03-16T19:00:00Z	14.970667	22.800000	33.713333	-1.883333	48.640668	101302.431800
2018-03-16T20:00:00Z	20.725333	32.565333	48.386667	-2.511111	48.660289	101337.542911
2018-03-16T21:00:00Z	11.360000	16.613333	23.913333	-3.263889	50.638470	101368.876244
2018-03-16T22:00:00Z	14.453333	21.210667	31.106667	-3.622222	51.887976	101420.654022
2018-03-16T23:00:00Z	13.014000	19.458000	28.597500	-4.325000	54.282602	101468.904022
2018-03-17T00:00:00Z	12.112000	18.480000	26.706667	-4.744444	52.221741	101522.320689
2018-03-17T01:00:00Z	12.000000	17.493333	25.280000	-4.816667	51.613470	101590.431800
2018-03-17T02:00:00Z	11.872000	17.504000	25.406667	-5.255556	55.939226	101610.765133
2018-03-17T03:00:00Z	15.120000	21.808000	31.913333	-5.727778	55.660819	101614.320689
2018-03-17T04:00:00Z	12.821333	19.040000	28.040000	-5.772222	55.476062	101617.320689
2018-03-17T05:00:00Z	11.509333	17.829333	26.913333	-5.794444	55.026211	101673.765133
2018-03-17T06:00:00Z	10.286400	15.672000	23.268000	-5.820000	54.916332	101752.354022
